URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//ctd/5882515058.html,2015,Toyota,Camry,$14380,California,60731,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5882370706.html,2013,Toyota,Camry,$18988,California,24238,automatic,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5882368350.html,2014,Toyota,Camry,$13988,California,25073,other,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5882362128.html,2013,Toyota,Camry,$14988,California,23925,other,hybrid,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5882000137.html,2013,Toyota,Camry,$12700,California,41746,automatic,gas,unk,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5881780483.html,2015,Toyota,Camry,$15995,California,26890,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5881776800.html,2012,Toyota,Camry,$11995,California,99501,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5868779407.html,2012,Toyota,Camry,$7498,California,76000,automatic,gas,black,4 cylinders,like new,salvage
https://orangecounty.craigslist.org//ctd/5881550064.html,2011,Toyota,Camry,$10995,California,unk,automatic,gas,grey,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5858077149.html,2012,Toyota,Camry,$12500,California,104000,automatic,gas,silver,5 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5881474461.html,2013,Toyota,Camry,$13499,California,unk,automatic,gas,silver,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5846467041.html,2014,Toyota,Camry,$15000,California,47986,automatic,gas,blue,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5881172605.html,2013,Toyota,Camry,$11999,California,39800,automatic,gas,black,unk,unk,clean
